title,author,category,isbn,availability_status
Norwegian Wood,Isaac Asimov,Business,978-9780000000372,Available
Team of Rivals,Toni Morrison,Poetry,978-9780000000376,Available
Team of Rivals,Philip K. Dick,Programming,978-9780000000383,Borrowed
The 7 Habits of Highly Effective People,Andrew Hunt,Philosophy,978-9780000000386,Available
Team of Rivals,Arthur C. Clarke,Mystery,978-9780000000390,Available
Unbroken,Fyodor Dostoevsky,Thriller,978-9780000000396,Available
Hamilton,Neil Gaiman,Poetry,978-9780000000398,Borrowed
Why We Sleep Vol. 3,Gabriel García Márquez,Programming,978-9780000000399,Available
Beloved,George Orwell,Self-help,978-9780000000402,Available
Mort,Jane Austen,Education,978-9780000000405,Available
Team of Rivals,Erich Gamma,Reference,978-9780000000406,Available
To Kill a Mockingbird,Leo Tolstoy,Mystery,978-9780000000412,Available
Crossing the Chasm Vol. 2,Eric Ries,Biography,978-9780000000419,Available
Norwegian Wood,Mark Twain,Fiction,978-9780000000424,Borrowed
The Immortal Life of Henrietta Lacks,Philip K. Dick,Philosophy,978-9780000000426,Available
Outliers,Philip K. Dick,Science,978-9780000000429,Available
Atomic Habits,Gabriel García Márquez,Education,978-9780000000433,Borrowed
Dune Vol. 4,Neil Gaiman,Mystery,978-9780000000434,Available
Drive,Haruki Murakami,Fiction,978-9780000000441,Borrowed
1984,Agatha Christie,Philosophy,978-9780000000442,Available
The Body Vol. 3,Neil Gaiman,Reference,978-9780000000443,Available
Homo Deus,Neil Gaiman,Poetry,978-9780000000449,Available
Foundation,Margaret Atwood,Romance,978-9780000000454,Borrowed
Why We Sleep,Charles Dickens,Children,978-9780000000461,Available
Pragmatic Thinking,Eric Ries,History,978-9780000000464,Borrowed
Code Complete,Gabriel García Márquez,Education,978-9780000000467,Available
Educated,Harper Lee,Philosophy,978-9780000000474,Available
The Power of Habit,Isaac Asimov,Romance,978-9780000000479,Available
Do Androids Dream of Electric Sheep? Vol. 4,Agatha Christie,Reference,978-9780000000484,Available
Good to Great,Isaac Asimov,Reference,978-9780000000488,Available
War and Peace,Fyodor Dostoevsky,Mystery,978-9780000000491,Available
Factfulness,Virginia Woolf,Philosophy,978-9780000000495,Borrowed
Make Time,Isaac Asimov,Poetry,978-9780000000498,Available
The Name of the Wind Vol. 2,Jane Austen,Fiction,978-9780000000504,Available
Blink,Harper Lee,Biography,978-9780000000510,Available
Switch,Philip K. Dick,Fantasy,978-9780000000511,Borrowed
Influence,George Orwell,Fantasy,978-9780000000512,Available
Mrs Dalloway,Robert C. Martin,Fantasy,978-9780000000518,Borrowed
Hooked,Mark Twain,Fiction,978-9780000000525,Available
"Thinking, Fast and Slow",Charles Dickens,Thriller,978-9780000000527,Borrowed
The Mythical Man-Month,Mark Twain,Fiction,978-9780000000534,Available
Cosmos Vol. 4,Ursula K. Le Guin,Self-help,978-9780000000536,Available
The 4-Hour Workweek,Erich Gamma,Mystery,978-9780000000537,Available
Team of Rivals,Frank Herbert,Mystery,978-9780000000544,Available
Just Mercy,Stephen Hawking,Children,978-9780000000547,Available
The Lean Startup,Arthur C. Clarke,Fiction,978-9780000000554,Available
Mort,Erich Gamma,Science,978-9780000000556,Available
A Brief History of Time,Agatha Christie,Poetry,978-9780000000562,Available
Influence Vol. 3,Isaac Asimov,Fantasy,978-9780000000568,Borrowed
A Brief History of Time,Patrick Rothfuss,Romance,978-9780000000575,Available
Eat That Frog,Patrick Rothfuss,Biography,978-9780000000579,Available
Mistborn,Patrick Rothfuss,Romance,978-9780000000586,Available
The Lean Startup,Stephen Hawking,Fantasy,978-9780000000590,Available
Good to Great,Fyodor Dostoevsky,Romance,978-9780000000595,Available
Born a Crime Vol. 2,Brandon Sanderson,Children,978-9780000000601,Available
The Mythical Man-Month Vol. 2,Ursula K. Le Guin,Programming,978-9780000000608,Available
Pragmatic Thinking,Philip K. Dick,Science,978-9780000000612,Available
Born a Crime,George Orwell,Children,978-9780000000618,Borrowed
War and Peace,Agatha Christie,Thriller,978-9780000000621,Available
The Handmaid's Tale,Isaac Asimov,Reference,978-9780000000624,Available
Hamilton,Toni Morrison,Self-help,978-9780000000628,Available
The Mythical Man-Month,Philip K. Dick,Education,978-9780000000635,Available
The Pragmatic Programmer,Toni Morrison,Poetry,978-9780000000639,Available
Six Easy Pieces,Philip K. Dick,Reference,978-9780000000645,Available
To Kill a Mockingbird,Toni Morrison,Business,978-9780000000648,Available
Start with Why,Andrew Hunt,Mystery,978-9780000000654,Available
Make Time Vol. 3,Erich Gamma,Mystery,978-9780000000661,Borrowed
The Immortal Life of Henrietta Lacks,Margaret Atwood,Business,978-9780000000665,Borrowed
Influence,Cal Newport,Children,978-9780000000672,Available
The Selfish Gene,Toni Morrison,Business,978-9780000000676,Available
Deep Survival,Brandon Sanderson,Business,978-9780000000683,Available
Team of Rivals,Frank Herbert,Romance,978-9780000000690,Available
Switch,Gabriel García Márquez,Reference,978-9780000000697,Available
Why We Sleep,Jane Austen,Education,978-9780000000701,Borrowed
Do Androids Dream of Electric Sheep?,Eric Ries,Education,978-9780000000703,Borrowed
Alexander Hamilton Vol. 4,Mark Twain,Education,978-9780000000707,Borrowed
Crossing the Chasm,Mark Twain,Self-help,978-9780000000709,Available
Eat That Frog,James Clear,Poetry,978-9780000000710,Available
Hidden Figures Vol. 2,Agatha Christie,Business,978-9780000000711,Available
Domain-Driven Design,Isaac Asimov,Education,978-9780000000717,Available
Becoming,Terry Pratchett,Education,978-9780000000720,Available
Blink,Toni Morrison,Self-help,978-9780000000725,Available
Zero to One,Stephen Hawking,Mystery,978-9780000000731,Available
Crime and Punishment,Isaac Asimov,Fiction,978-9780000000735,Available
Drive,Robert C. Martin,Thriller,978-9780000000742,Available
Guns Germs and Steel,Yuval Noah Harari,Mystery,978-9780000000747,Available
Built to Last,George Orwell,Science,978-9780000000748,Available
Steve Jobs,Eric Ries,Reference,978-9780000000753,Available
The Immortal Life of Henrietta Lacks,Charles Dickens,Romance,978-9780000000759,Available
The Immortal Life of Henrietta Lacks,Ursula K. Le Guin,Science,978-9780000000760,Available
Behave,Stephen Hawking,Children,978-9780000000766,Available
Drive,Fyodor Dostoevsky,Reference,978-9780000000767,Available
The 7 Habits of Highly Effective People,Stephen Hawking,Fantasy,978-9780000000768,Borrowed
High Output Management,Andrew Hunt,Self-help,978-9780000000773,Available
"Thinking, Fast and Slow",Eric Ries,Philosophy,978-9780000000775,Available
On Writing,Philip K. Dick,Business,978-9780000000781,Available
Zero to One,Stephen Hawking,Poetry,978-9780000000782,Available
Decisive Vol. 3,Jane Austen,Children,978-9780000000784,Available
Sleep Smarter,Leo Tolstoy,Romance,978-9780000000791,Available
A Short History of Nearly Everything,Stephen Hawking,Thriller,978-9780000000798,Available
A Brief History of Time Vol. 2,Terry Pratchett,Education,978-9780000000805,Borrowed
Homo Deus Vol. 3,Andrew Hunt,Romance,978-9780000000810,Available
Factfulness,Ursula K. Le Guin,Romance,978-9780000000815,Available
Hooked,James Clear,Mystery,978-9780000000819,Available
