title,author,category,isbn,availability_status
Do Androids Dream of Electric Sheep?,Toni Morrison,Poetry,978-9780000000148,Available
A Brief History of Time,Harper Lee,Self-help,978-9780000000153,Available
Sleep Smarter,Mark Twain,Science,978-9780000000160,Available
A Short History of Nearly Everything,Jane Austen,Education,978-9780000000161,Available
Einstein,Gabriel García Márquez,Children,978-9780000000165,Available
Decisive,C.S. Lewis,Business,978-9780000000171,Available
Mort,James Clear,Politics,978-9780000000176,Available
To Kill a Mockingbird,Dan Brown,Science,978-9780000000183,Available
The Code Book Vol. 3,Malcolm Gladwell,History,978-9780000000184,Available
Refactoring,Mark Twain,Art,978-9780000000189,Available
On Writing Vol. 4,Agatha Christie,Psychology,978-9780000000192,Available
Refactoring,Haruki Murakami,Poetry,978-9780000000198,Available
David and Goliath (3rd Edition),Harper Lee,History,978-9780000000203,Available
The Demon-Haunted World,Mark Twain,Philosophy,978-9780000000204,Available
Born a Crime,Albert Camus,Health,978-9780000000209,Available
Measure What Matters,Harper Lee,Business,978-9780000000215,Available
Antifragile Vol. 3,Gabriel García Márquez,Music,978-9780000000218,Available
The Body,Stephen King,Reference,978-9780000000221,Available
Skin in the Game (2nd Edition),Toni Morrison,Self-help,978-9780000000228,Available
The Hobbit Vol. 4,Stephen Hawking,Poetry,978-9780000000230,Available
The Wright Brothers,Stephen Hawking,Cooking,978-9780000000236,Available
Factfulness,Erich Gamma,Fantasy,978-9780000000238,Available
The Stand (Annotated),Tara Westover,Mystery,978-9780000000240,Available
Guns Germs and Steel,Daniel Kahneman,Politics,978-9780000000244,Available
Refactoring,Leo Tolstoy,Children,978-9780000000251,Available
The Tipping Point,Albert Camus,Psychology,978-9780000000255,Borrowed
The Shining,Harper Lee,Education,978-9780000000261,Borrowed
The Alchemist,Isaac Asimov,Fantasy,978-9780000000265,Borrowed
Talking to Strangers (Expanded),Ursula K. Le Guin,Romance,978-9780000000269,Borrowed
The Hobbit,Tara Westover,Cooking,978-9780000000273,Available
Atomic Habits Vol. 4,Paulo Coelho,Romance,978-9780000000275,Available
Deep Survival,Terry Pratchett,Music,978-9780000000278,Borrowed
Great Expectations,Erich Gamma,Economics,978-9780000000281,Available
Six Easy Pieces,Stephen Hawking,Politics,978-9780000000287,Available
Homo Deus,Daniel Kahneman,Thriller,978-9780000000290,Available
Adventures of Tom Sawyer,Barack Obama,Children,978-9780000000293,Available
Start with Why,Barack Obama,Education,978-9780000000297,Available
Black Swan,Suzanne Collins,Programming,978-9780000000301,Available
American Gods,Margaret Atwood,Poetry,978-9780000000307,Available
The Hard Thing About Hard Things,Stephen Hawking,Science,978-9780000000314,Available
Thinking Fast and Slow,George Orwell,Mystery,978-9780000000317,Available
Mistborn,Mark Twain,Reference,978-9780000000318,Available
The Hobbit Vol. 5,Khaled Hosseini,Biography,978-9780000000324,Available
Einstein,Trevor Noah,Programming,978-9780000000330,Borrowed
Tipping Point,Charles Dickens,Science,978-9780000000334,Borrowed
Start with Why (Expanded),Eric Ries,Poetry,978-9780000000341,Available
Henrietta Lacks,Margaret Atwood,Poetry,978-9780000000346,Available
Switch,Brandon Sanderson,Science,978-9780000000351,Available
The Selfish Gene,Bill Bryson,Romance,978-9780000000358,Available
Six Easy Pieces,Yuval Noah Harari,Economics,978-9780000000362,Available
Pragmatic Thinking,Cal Newport,Business,978-9780000000363,Available
Good to Great,Neil Gaiman,Thriller,978-9780000000367,Available
Team of Rivals Vol. 5,Hannah Arendt,Art,978-9780000000371,Borrowed
Design Patterns,J.R.R. Tolkien,Programming,978-9780000000375,Borrowed
Drive,Neil Gaiman,Cooking,978-9780000000382,Available
Sleep Smarter,Charles Dickens,Romance,978-9780000000386,Available
Atomic Habits,Frank Herbert,Politics,978-9780000000393,Available
Henrietta Lacks,Robert C. Martin,Education,978-9780000000398,Available
High Output Management Vol. 5,Patrick Rothfuss,Science,978-9780000000400,Available
Steve Jobs,Brian Greene,Education,978-9780000000403,Available
Harry Potter,Robert C. Martin,Politics,978-9780000000407,Available
Behave (Revised),Robert C. Martin,Mystery,978-9780000000414,Available
Design Patterns,Barack Obama,Fiction,978-9780000000418,Available
Mort,Jane Austen,Music,978-9780000000421,Available
Outliers,Haruki Murakami,Fiction,978-9780000000423,Available
Grit,Frank Herbert,Economics,978-9780000000427,Available
Eat That Frog,Trevor Noah,Fantasy,978-9780000000428,Borrowed
Deep Survival,Simone de Beauvoir,Self-help,978-9780000000433,Available
The Wright Brothers (Annotated),Neil Gaiman,Reference,978-9780000000434,Available
Homo Deus,Stephen Hawking,Children,978-9780000000440,Available
Six Easy Pieces,J.K. Rowling,Reference,978-9780000000447,Available
Da Vinci Code,Mark Twain,History,978-9780000000454,Available
Just Mercy,Barack Obama,Education,978-9780000000459,Available
The Gene,Isaac Asimov,Romance,978-9780000000461,Available
Range,Andrew Hunt,Travel,978-9780000000466,Borrowed
Pride and Prejudice,Brian Greene,Mystery,978-9780000000471,Available
Lean Analytics,George Orwell,Fantasy,978-9780000000472,Available
Good to Great,J.R.R. Tolkien,Cooking,978-9780000000475,Available
The Wright Brothers,Trevor Noah,Poetry,978-9780000000478,Available
The Mythical Man-Month,Eric Ries,Politics,978-9780000000481,Available
Blink,J.R.R. Tolkien,Romance,978-9780000000487,Available
Blink,Friedrich Nietzsche,Biography,978-9780000000488,Available
Homo Deus (3rd Edition),Toni Morrison,Self-help,978-9780000000490,Borrowed
Make Time,Brian Greene,Reference,978-9780000000496,Available
Clean Code,Ursula K. Le Guin,Science,978-9780000000500,Borrowed
The Mythical Man-Month,Yuval Noah Harari,Education,978-9780000000507,Available
7 Habits (Expanded),Khaled Hosseini,Fantasy,978-9780000000514,Available
Code Complete Vol. 5,Malcolm Gladwell,Music,978-9780000000519,Available
Six Easy Pieces,Paulo Coelho,Children,978-9780000000522,Available
On Writing Vol. 2,Agatha Christie,Health,978-9780000000529,Available
High Output Management Vol. 3,Suzanne Collins,History,978-9780000000531,Available
Alexander Hamilton,Erich Gamma,Mystery,978-9780000000534,Available
Thinking Fast and Slow,Charles Dickens,Romance,978-9780000000540,Available
Zero to One,Terry Pratchett,Fiction,978-9780000000542,Available
Lean Analytics Vol. 4,Stephen Hawking,History,978-9780000000549,Available
The Stand,Gabriel García Márquez,Poetry,978-9780000000554,Available
Good to Great,Stephen King,Cooking,978-9780000000557,Available
Pride and Prejudice,Margaret Atwood,Music,978-9780000000563,Available
War and Peace,Khaled Hosseini,Art,978-9780000000570,Borrowed
Blink,Brian Greene,Science,978-9780000000571,Available
Crossing the Chasm,Terry Pratchett,Health,978-9780000000576,Borrowed
War and Peace,Barack Obama,Fiction,978-9780000000579,Borrowed
Becoming,Frank Herbert,Cooking,978-9780000000585,Available
War and Peace,Frank Herbert,Travel,978-9780000000592,Borrowed
The Pragmatic Programmer,James Clear,Biography,978-9780000000596,Available
On Writing,James Clear,Biography,978-9780000000603,Available
Mrs Dalloway,C.S. Lewis,Fiction,978-9780000000609,Available
Zero to One,Haruki Murakami,Cooking,978-9780000000611,Available
Alexander Hamilton Vol. 2,Eric Ries,Health,978-9780000000615,Borrowed
The Gene,Toni Morrison,Children,978-9780000000621,Borrowed
The Selfish Gene,Fyodor Dostoevsky,Music,978-9780000000625,Available
Range Vol. 2,Hannah Arendt,Children,978-9780000000628,Available
Narnia,Richard Feynman,Fantasy,978-9780000000631,Borrowed
Getting Things Done,Brandon Sanderson,Cooking,978-9780000000633,Available
Becoming,Margaret Atwood,Biography,978-9780000000637,Borrowed
Refactoring,Neil Gaiman,Self-help,978-9780000000644,Available
The Selfish Gene,Barack Obama,Health,978-9780000000648,Borrowed
The Gene,Ursula K. Le Guin,Fiction,978-9780000000653,Borrowed
Born a Crime Vol. 5,Richard Feynman,Business,978-9780000000654,Available
Crossing the Chasm (Annotated),Daniel Kahneman,Economics,978-9780000000657,Available
Pride and Prejudice,J.K. Rowling,Education,978-9780000000664,Borrowed
Zero to One,J.K. Rowling,Self-help,978-9780000000671,Available
Refactoring,Stephen Hawking,History,978-9780000000673,Available
Crime and Punishment,Brandon Sanderson,Science,978-9780000000674,Available
Black Swan Vol. 4,James Clear,Fantasy,978-9780000000681,Available
Unbroken Vol. 5,Tara Westover,Science,978-9780000000686,Available
Pride and Prejudice,Mark Twain,Reference,978-9780000000692,Borrowed
One Hundred Years of Solitude,Virginia Woolf,Psychology,978-9780000000696,Available
It,Jane Austen,History,978-9780000000701,Available
Behave,Trevor Noah,Romance,978-9780000000705,Available
Drive,Harper Lee,Mystery,978-9780000000709,Available
Guns Germs and Steel,Robert C. Martin,Psychology,978-9780000000712,Available
Clean Code,James Clear,Music,978-9780000000718,Available
Harry Potter,Charles Dickens,Music,978-9780000000725,Borrowed
Mistborn,Brian Greene,Politics,978-9780000000731,Available
Built to Last,Michelle Obama,Self-help,978-9780000000737,Available
Born a Crime Vol. 4,Cal Newport,History,978-9780000000743,Borrowed
Educated,Simone de Beauvoir,Cooking,978-9780000000745,Borrowed
Homo Deus,Jane Austen,Romance,978-9780000000752,Borrowed
A Short History of Nearly Everything,Ursula K. Le Guin,Fiction,978-9780000000759,Available
A Brief History of Time Vol. 3,Tara Westover,Politics,978-9780000000766,Available
Leonardo da Vinci,George Orwell,Education,978-9780000000769,Available
Why We Sleep Vol. 4,Stephen Hawking,Psychology,978-9780000000775,Available
Steve Jobs,Tara Westover,Mystery,978-9780000000776,Available
On Writing,Charles Dickens,Health,978-9780000000781,Available
Da Vinci Code,Neil Gaiman,Fiction,978-9780000000787,Available
Sapiens,Mark Twain,Cooking,978-9780000000788,Available
Hidden Figures,J.K. Rowling,Children,978-9780000000794,Available
Decisive,Friedrich Nietzsche,Reference,978-9780000000795,Available
The Power of Habit Vol. 4,Brandon Sanderson,Poetry,978-9780000000797,Borrowed
The Alchemist,J.K. Rowling,Health,978-9780000000800,Available
Leonardo da Vinci,Jean-Paul Sartre,Poetry,978-9780000000807,Available
Mort,James Clear,Thriller,978-9780000000808,Available
Mrs Dalloway,Brian Greene,Cooking,978-9780000000815,Available
Mort,Stephen Hawking,Music,978-9780000000822,Available
The Alchemist,Virginia Woolf,Science,978-9780000000827,Available
Tipping Point Vol. 2,Simone de Beauvoir,Mystery,978-9780000000830,Available
Design Patterns (2nd Edition),Eric Ries,Politics,978-9780000000835,Available
Just Mercy,Brandon Sanderson,Travel,978-9780000000836,Available
Bird by Bird Vol. 4,Michelle Obama,Programming,978-9780000000840,Available
A Short History of Nearly Everything,C.S. Lewis,Economics,978-9780000000841,Borrowed
A Brief History of Time,Yuval Noah Harari,Business,978-9780000000843,Available
Hooked,Malcolm Gladwell,Travel,978-9780000000847,Available
The Demon-Haunted World (Revised),Michelle Obama,Health,978-9780000000854,Borrowed
Make Time,Charles Dickens,Children,978-9780000000858,Available
Hidden Figures,Terry Pratchett,Thriller,978-9780000000861,Available
Factfulness,Yuval Noah Harari,History,978-9780000000865,Borrowed
War and Peace,Albert Camus,Business,978-9780000000868,Available
Eat That Frog,Eric Ries,Children,978-9780000000874,Available
Measure What Matters,James Clear,Fantasy,978-9780000000880,Available
Guns Germs and Steel Vol. 3,Barack Obama,Reference,978-9780000000882,Available
Murder on the Orient Express,Brian Greene,Romance,978-9780000000883,Available
The Shining,Jean-Paul Sartre,Music,978-9780000000890,Available
Lean Analytics,Friedrich Nietzsche,Economics,978-9780000000896,Available
2001: A Space Odyssey,Isaac Asimov,Programming,978-9780000000899,Available
One Hundred Years of Solitude,Stephen Hawking,Health,978-9780000000901,Borrowed
War and Peace,Patrick Rothfuss,Thriller,978-9780000000905,Available
Grit,Malcolm Gladwell,History,978-9780000000910,Borrowed
Norwegian Wood,George Orwell,Romance,978-9780000000916,Available
The Wright Brothers,Agatha Christie,Travel,978-9780000000919,Available
Unbroken Vol. 5,Barack Obama,Fantasy,978-9780000000924,Available
Leonardo da Vinci (Expanded),Agatha Christie,Business,978-9780000000927,Available
Influence (2nd Edition),Cal Newport,Education,978-9780000000929,Available
The Name of the Wind,Isaac Asimov,History,978-9780000000936,Available
The Tipping Point Vol. 2,Yuval Noah Harari,Thriller,978-9780000000940,Available
7 Habits,Eric Ries,Education,978-9780000000943,Available
Educated,Friedrich Nietzsche,Economics,978-9780000000947,Borrowed
War and Peace,Paulo Coelho,Education,978-9780000000951,Available
Leonardo da Vinci,Ursula K. Le Guin,Science,978-9780000000953,Available
Hooked Vol. 3,Isaac Asimov,Philosophy,978-9780000000960,Available
Inferno,Stephen Hawking,Romance,978-9780000000961,Available
The War of Art,Leo Tolstoy,Health,978-9780000000962,Available
David and Goliath,Khaled Hosseini,Health,978-9780000000968,Available
On Writing,Stephen Hawking,Poetry,978-9780000000971,Available
Born a Crime,James Clear,Philosophy,978-9780000000976,Available
Grit (Annotated),Gabriel García Márquez,History,978-9780000000983,Available
The Alchemist Vol. 5,Paulo Coelho,Cooking,978-9780000000987,Borrowed
The Tipping Point,Khaled Hosseini,Health,978-9780000000994,Available
The War of Art,Brandon Sanderson,Fiction,978-9780000000995,Borrowed
Hunger Games,Michelle Obama,Science,978-9780000001000,Available
The Innovators,Daniel Kahneman,Science,978-9780000001005,Available
Algorithms to Live By,Tara Westover,Music,978-9780000001008,Available
Zero to One (Revised),Tara Westover,Education,978-9780000001013,Available
Switch,Stephen Hawking,Thriller,978-9780000001018,Available
High Output Management Vol. 4,Michelle Obama,Economics,978-9780000001021,Available
Mrs Dalloway,Suzanne Collins,Education,978-9780000001024,Available
Becoming,Stephen Hawking,Psychology,978-9780000001031,Borrowed
War and Peace,Robert C. Martin,Philosophy,978-9780000001034,Available
Mort,Charles Dickens,Business,978-9780000001036,Available
Influence,J.K. Rowling,Politics,978-9780000001043,Borrowed
Sapiens,Cal Newport,Music,978-9780000001048,Available
The Handmaid's Tale,Albert Camus,Science,978-9780000001053,Available
1984,Brandon Sanderson,Music,978-9780000001055,Available
Outliers,Haruki Murakami,Reference,978-9780000001057,Borrowed
Do Androids Dream of Electric Sheep?,Patrick Rothfuss,Fantasy,978-9780000001061,Available
The Demon-Haunted World,Fyodor Dostoevsky,Music,978-9780000001068,Available
The Mythical Man-Month Vol. 5,Arthur C. Clarke,Cooking,978-9780000001075,Borrowed
Made to Stick,George Orwell,Science,978-9780000001078,Available
Black Swan,Charles Dickens,Poetry,978-9780000001079,Borrowed
Atomic Habits,Mark Twain,Education,978-9780000001082,Borrowed
Factfulness,Friedrich Nietzsche,Economics,978-9780000001083,Available
The Stand Vol. 2,Friedrich Nietzsche,Reference,978-9780000001086,Available
Beloved,Andrew Hunt,History,978-9780000001091,Available
Mort,Malcolm Gladwell,Travel,978-9780000001097,Available
Lord of the Rings,Mark Twain,Children,978-9780000001098,Available
On Writing,Malcolm Gladwell,Cooking,978-9780000001102,Available
The Code Book,Terry Pratchett,Programming,978-9780000001105,Available
Refactoring,George Orwell,Travel,978-9780000001111,Borrowed
Deep Work,Stephen King,Cooking,978-9780000001118,Available
Talking to Strangers,Virginia Woolf,Politics,978-9780000001121,Available
Narnia Vol. 3,Barack Obama,Health,978-9780000001127,Available
Getting Things Done,Isaac Asimov,Cooking,978-9780000001128,Available
Lean Analytics,Trevor Noah,Reference,978-9780000001132,Available
The Shining Vol. 5,Gabriel García Márquez,Biography,978-9780000001133,Available
Dune,Stephen King,Education,978-9780000001136,Borrowed
Sleep Smarter (Expanded),Isaac Asimov,Self-help,978-9780000001139,Borrowed
Becoming,Frank Herbert,Politics,978-9780000001143,Available
Einstein,C.S. Lewis,Philosophy,978-9780000001149,Borrowed
Six Easy Pieces (2nd Edition),Terry Pratchett,Music,978-9780000001150,Borrowed
2001: A Space Odyssey,Margaret Atwood,Psychology,978-9780000001151,Available
Just Mercy,Brandon Sanderson,Philosophy,978-9780000001157,Available
Decisive,Toni Morrison,Health,978-9780000001161,Borrowed
The Lean Startup Vol. 5,Stephen King,Politics,978-9780000001164,Available
Atomic Habits Vol. 5,Cal Newport,History,978-9780000001165,Available
Lean Analytics,Erich Gamma,Music,978-9780000001170,Available
Just Mercy,Yuval Noah Harari,Art,978-9780000001177,Available
Homo Deus,Eric Ries,Programming,978-9780000001179,Available
The Gene,Virginia Woolf,Romance,978-9780000001180,Available
Mort,Fyodor Dostoevsky,Fiction,978-9780000001184,Available
A Brief History of Time,George Orwell,Psychology,978-9780000001188,Borrowed
Mindset,J.K. Rowling,Fantasy,978-9780000001193,Borrowed
Kite Runner,Bill Bryson,Science,978-9780000001199,Available
The Code Book,Cal Newport,Mystery,978-9780000001206,Available
Atomic Habits,Albert Camus,Cooking,978-9780000001210,Available
Antifragile Vol. 4,Carl Sagan,Politics,978-9780000001214,Available
Alexander Hamilton,Cal Newport,Thriller,978-9780000001215,Available
Just Mercy,Friedrich Nietzsche,Cooking,978-9780000001217,Available
2001: A Space Odyssey,James Clear,Fiction,978-9780000001222,Available
Drive,Charles Dickens,Philosophy,978-9780000001228,Borrowed
Six Easy Pieces,Fyodor Dostoevsky,Health,978-9780000001231,Borrowed
The Power of Habit Vol. 4,J.K. Rowling,History,978-9780000001236,Available
A Wizard of Earthsea,Barack Obama,Music,978-9780000001238,Available
The War of Art,Jean-Paul Sartre,Programming,978-9780000001239,Available
Lean Analytics,Hannah Arendt,Art,978-9780000001241,Available
Hooked Vol. 4,Haruki Murakami,Reference,978-9780000001247,Available
The Shining,Trevor Noah,Self-help,978-9780000001248,Available
Team of Rivals,Stephen Hawking,Thriller,978-9780000001253,Borrowed
Mindset,Cal Newport,Philosophy,978-9780000001257,Available
Murder on the Orient Express,Brandon Sanderson,Mystery,978-9780000001260,Available
To Kill a Mockingbird,Neil Gaiman,Mystery,978-9780000001265,Borrowed
Black Swan,Richard Feynman,Thriller,978-9780000001270,Available
The Handmaid's Tale,Haruki Murakami,Reference,978-9780000001274,Available
Leonardo da Vinci,Paulo Coelho,Philosophy,978-9780000001276,Available
Thinking Fast and Slow,Tara Westover,Reference,978-9780000001282,Available
Clean Code,Richard Feynman,Philosophy,978-9780000001285,Available
Homo Deus Vol. 2,Suzanne Collins,Biography,978-9780000001290,Available
Thinking Fast and Slow Vol. 5,Suzanne Collins,Romance,978-9780000001297,Borrowed
On Writing,Frank Herbert,Philosophy,978-9780000001298,Available
The Body,Fyodor Dostoevsky,Music,978-9780000001300,Available
The Demon-Haunted World Vol. 2,Carl Sagan,Thriller,978-9780000001302,Borrowed
Six Easy Pieces,Cal Newport,Thriller,978-9780000001307,Borrowed
Mindset,Friedrich Nietzsche,Fantasy,978-9780000001313,Available
The Demon-Haunted World,Khaled Hosseini,Fantasy,978-9780000001319,Available
Design Patterns,Paulo Coelho,Fantasy,978-9780000001323,Available
Switch,J.R.R. Tolkien,Romance,978-9780000001328,Borrowed
Narnia,Richard Feynman,Self-help,978-9780000001330,Available
A Wizard of Earthsea,Friedrich Nietzsche,Education,978-9780000001337,Available
Built to Last,Eric Ries,Biography,978-9780000001343,Available
Mindset,Neil Gaiman,Travel,978-9780000001345,Available
Algorithms to Live By,James Clear,Economics,978-9780000001351,Available
American Gods,Dan Brown,Education,978-9780000001355,Available
Foundation,Isaac Asimov,Psychology,978-9780000001360,Available
Switch,Daniel Kahneman,Reference,978-9780000001363,Available
Code Complete,Hannah Arendt,Fantasy,978-9780000001366,Available
Good to Great,Suzanne Collins,Politics,978-9780000001369,Available
Adventures of Tom Sawyer,Jean-Paul Sartre,Philosophy,978-9780000001373,Borrowed
It Vol. 2,Carl Sagan,History,978-9780000001376,Available
Born a Crime,Fyodor Dostoevsky,Cooking,978-9780000001378,Available
Essentialism,Stephen Hawking,Art,978-9780000001383,Available
To Kill a Mockingbird,Charles Dickens,Self-help,978-9780000001389,Available
Becoming,Cal Newport,Programming,978-9780000001396,Borrowed
The Handmaid's Tale,J.R.R. Tolkien,Health,978-9780000001400,Available
Thinking Fast and Slow,George Orwell,Health,978-9780000001407,Available
Why We Sleep,Leo Tolstoy,Children,978-9780000001408,Borrowed
Foundation (2nd Edition),C.S. Lewis,Science,978-9780000001415,Borrowed
Talking to Strangers,Haruki Murakami,Art,978-9780000001416,Available
Becoming,Dan Brown,Reference,978-9780000001421,Borrowed
Beloved,Albert Camus,Fiction,978-9780000001423,Available
Decisive,Andrew Hunt,Politics,978-9780000001425,Available
Influence,Daniel Kahneman,Health,978-9780000001427,Borrowed
Da Vinci Code,Barack Obama,Fiction,978-9780000001431,Available
Beloved,Virginia Woolf,Education,978-9780000001432,Available
David and Goliath,Richard Feynman,Art,978-9780000001437,Available
Crossing the Chasm,Eric Ries,Poetry,978-9780000001443,Available
Hamilton,Hannah Arendt,Fantasy,978-9780000001449,Available
Hooked,Charles Dickens,Mystery,978-9780000001454,Borrowed
A Short History of Nearly Everything,Arthur C. Clarke,Children,978-9780000001459,Available
Skin in the Game,Jean-Paul Sartre,Biography,978-9780000001465,Available
Built to Last,Dan Brown,Poetry,978-9780000001466,Available
Homo Deus Vol. 2,Friedrich Nietzsche,Cooking,978-9780000001467,Borrowed
Dune,Dan Brown,Poetry,978-9780000001470,Available
American Gods,Brandon Sanderson,Self-help,978-9780000001475,Available
The Code Book,Patrick Rothfuss,Psychology,978-9780000001480,Borrowed
Switch Vol. 4,Andrew Hunt,Politics,978-9780000001487,Available
A Brief History of Time Vol. 4,Yuval Noah Harari,Cooking,978-9780000001493,Borrowed
Fooled by Randomness Vol. 5,Gabriel García Márquez,Children,978-9780000001494,Available
Beloved,Neil Gaiman,Philosophy,978-9780000001500,Borrowed
Steve Jobs,Philip K. Dick,History,978-9780000001504,Available
High Output Management,Isaac Asimov,Fiction,978-9780000001511,Available
Why We Sleep,Friedrich Nietzsche,Programming,978-9780000001513,Available
Drive,J.K. Rowling,Education,978-9780000001517,Borrowed
Code Complete,Richard Feynman,Fiction,978-9780000001519,Available
High Output Management,Mark Twain,Biography,978-9780000001520,Available
Deep Survival Vol. 2,Stephen Hawking,Self-help,978-9780000001522,Available
The Name of the Wind,James Clear,Business,978-9780000001529,Available
Influence,Margaret Atwood,Art,978-9780000001534,Available
The Hard Thing About Hard Things,Barack Obama,Travel,978-9780000001536,Available
Drive,Stephen Hawking,Science,978-9780000001541,Available
The Wright Brothers (Annotated),Barack Obama,Education,978-9780000001547,Available
Mindset,Philip K. Dick,Science,978-9780000001550,Available
The Selfish Gene,Carl Sagan,Business,978-9780000001557,Borrowed
Algorithms to Live By Vol. 5,Suzanne Collins,Travel,978-9780000001561,Available
Code Complete,Brandon Sanderson,Philosophy,978-9780000001562,Available
Switch (2nd Edition),Malcolm Gladwell,Music,978-9780000001568,Available
A Brief History of Time,Barack Obama,Cooking,978-9780000001574,Available
American Gods,Agatha Christie,Biography,978-9780000001575,Borrowed
Adventures of Tom Sawyer,Trevor Noah,Music,978-9780000001577,Available
Leonardo da Vinci,Gabriel García Márquez,Education,978-9780000001584,Available
Crossing the Chasm,C.S. Lewis,Poetry,978-9780000001589,Available
Switch,Arthur C. Clarke,Thriller,978-9780000001591,Available
The 4-Hour Workweek,Virginia Woolf,Cooking,978-9780000001592,Borrowed
Getting Things Done,Ursula K. Le Guin,Mystery,978-9780000001594,Available
Harry Potter,Ursula K. Le Guin,Romance,978-9780000001600,Available
Cosmos,Patrick Rothfuss,Science,978-9780000001604,Available
Guns Germs and Steel,Leo Tolstoy,Cooking,978-9780000001608,Borrowed
The Lean Startup,Jean-Paul Sartre,Psychology,978-9780000001609,Available
The Pragmatic Programmer,Yuval Noah Harari,Economics,978-9780000001611,Available
Mort,Bill Bryson,Psychology,978-9780000001616,Borrowed
Skin in the Game,J.K. Rowling,Cooking,978-9780000001617,Available
Design Patterns,Robert C. Martin,Travel,978-9780000001620,Borrowed
The Hard Thing About Hard Things,Harper Lee,Fiction,978-9780000001622,Available
Refactoring,Isaac Asimov,Romance,978-9780000001629,Available
Pride and Prejudice,Mark Twain,Economics,978-9780000001634,Available
Built to Last (Revised),Frank Herbert,Education,978-9780000001635,Available
The Selfish Gene Vol. 2,Jane Austen,History,978-9780000001641,Available
Unbroken,Harper Lee,Travel,978-9780000001648,Borrowed
The Name of the Wind,J.R.R. Tolkien,Romance,978-9780000001653,Available
A Brief History of Time,Khaled Hosseini,Psychology,978-9780000001658,Available
Kite Runner,Stephen Hawking,Economics,978-9780000001663,Borrowed
A Brief History of Time,Friedrich Nietzsche,Education,978-9780000001668,Available
Sleep Smarter,Simone de Beauvoir,Economics,978-9780000001670,Available
The Demon-Haunted World,Terry Pratchett,Mystery,978-9780000001671,Borrowed
The Body,Frank Herbert,Thriller,978-9780000001676,Available
Pragmatic Thinking,Isaac Asimov,Cooking,978-9780000001678,Borrowed
Unbroken,George Orwell,Music,978-9780000001682,Available
Code Complete (Expanded),Carl Sagan,Health,978-9780000001686,Available
Einstein,Haruki Murakami,Poetry,978-9780000001687,Available
Pragmatic Thinking Vol. 2,Terry Pratchett,Poetry,978-9780000001689,Available
The Code Book (Annotated),George Orwell,Music,978-9780000001694,Available
Educated (2nd Edition),Hannah Arendt,History,978-9780000001698,Available
Essentialism,Dan Brown,Science,978-9780000001703,Available
A Wizard of Earthsea Vol. 4,C.S. Lewis,Business,978-9780000001706,Available
Unbroken,Yuval Noah Harari,Philosophy,978-9780000001713,Available
Code Complete,Fyodor Dostoevsky,Poetry,978-9780000001718,Available
Drive Vol. 5,Friedrich Nietzsche,Music,978-9780000001721,Available
Tipping Point,Jean-Paul Sartre,Health,978-9780000001728,Borrowed
Beloved,Fyodor Dostoevsky,Reference,978-9780000001734,Available
Leonardo da Vinci,Bill Bryson,Reference,978-9780000001740,Borrowed
